"location","city","country","address","latitude","longitude","co2_kg","distance_km","plane trips_amount","train trips_amount"
"Milan,  Italy","Milan"," Italy","Milan, Lombardy, Italy","45.4668","9.1905","0.0","0.0","0","8"
"Zurich,  Switzerland","Zurich"," Switzerland","Zurich, District Zurich, Zurich, Switzerland","47.3744489","8.5410422","13.029","435.765","0","1"
"Geneva,  Switzerland","Geneva"," Switzerland","Geneva, Grand Genève, Geneva, Switzerland","46.2017559","6.1466014","14.924","499.122","0","1"
"Munich,  Germany","Munich"," Germany","Munich, Bavaria, Germany","48.1371079","11.5753822","20.809","695.953","0","1"
"Triest,  Italy","Triest"," Italy","Triest, UTI Giuliana / Julijska MTU, Friuli-Venezia Giulia, Italy","45.6504806","13.7931263","21.461","717.752","0","1"
"Florence,  Italy","Florence"," Italy","Florence, Metropolitan City of Florence, Tuscany, Italy","43.7698712","11.2555757","29.855","998.481","0","2"
"Padua,  Italy","Padua"," Italy","Padua, Padova, Veneto, Italy","45.4077172","11.8734455","37.572","1256.572","0","3"
"Marseille,  France","Marseille"," France","Marseille, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, Metropolitan France, 13000, France","43.2961743","5.3699525","46.38","1551.172","0","2"
"Lyon,  France","Lyon"," France","Lyon, Métropole de Lyon, Departemental constituency of Rhône, Auvergne-Rhône-Alpes, Metropolitan France, France","45.7578137","4.8320114","61.087","2043.06","0","3"
"Bologna,  Italy","Bologna"," Italy","Bologna, Emilia-Romagna, Italy","44.4937577","11.3430308","84.103","2812.795","0","7"
"Rome,  Italy","Rome"," Italy","Rome, Roma Capitale, Lazio, Italy","41.8933203","12.4829321","85.643","2864.318","0","3"
